nginza tî särängö-kua	frais de fonctionnement.
nginza tî zöröndö	allocation.
nginzawandê	devise.
ngoangoa	provision.
ngoi tî sêndâkônde	période comptable.
nzïngö lapôo	fraude fiscale.
nzönî bê	stimulant financier.
päsä mbëtïgio	action privilegie.
pêrete	perte.
piabängö mosoro	prévision financière.
pöpö	écart.
pöpö lüngö-nginza	financement relais; interfinancement.
sango tî mosoro	information financiére.
sêkänginza	solvabilité.
sêmosoro	situation financière.
sêndâkua tî känginza	plan de dépenses.
sêngê luma	marché libre.
sêngê mbëtïgio	action ordinaire.
sëngö tî nginza	sanction pécuniaire.
sêngôbo tî fûta	modalité de paiement.
sêtârâ tî nginza tî letäa	transparence financière.
sêwüngö-kêtê	moins-value.
sêwüngö-mîngi	plus-value.
sêyâgbê tî mosoro	structure financière.
süängö tî nginza tî letäa	flux de trésorerie.
süngö mamânginza	budgétisation; établissement du budget.
süngö nginza na bûku	immaticulation des titres.
taâ nginza	actif financie.
tambûla tî nginza tî letäa	mouvement de la trésorerie.
tatë ngêrë	coûts liés.
tïängö mosoro	déficit financier.
tïängö tî mamânginza	déficit budgétaire.
tingö tî nginza	dépréciation de la monnaie.
tökänginza	frais généraux.
töküängö nginza	virement des fonds.
tölüngö-nginza	financement global.
tondo tî mosoro	rapport financier; état financier.
töwakuanginza tî letäa	agent financier supérieur.
vülängö mbëtïnginza	émision publique (de titres).
wafütängö-ngira	contribuable.
wakuanginza tî letäa	agent financier.
walëngö-nginza	gestionnaire financier.
walüngö-nginza	financier.
wawängö lüngö-nginza	conseiller financier.
wawësëngö nginza tî letäa	vérificateur financier.
wëngö hônga	obligation échue.
wësëngö nginza tî letäa	vérification financière.
wüngö na farânga	montant en francs.
wüngö na ngbondö	montant en valeur.
wüngö tî ngbondö	valeur nominale.
yängö	majoration.
yongo	créance; passif.
zegë lëngö-mosoro	capital-risque.
zënngö	endettement.
zïängö na kêsi	encaissement.
zïngö na kêsi	décaissement.
zöröndö	aide financière; subvention.
